id	title	developer	genre	language	publisher	region	release_date	serial
SLPS-25136	Kuon no Kizuna: Sairinshou	Fog	Adventure.	Japanese	Fog	NTSC-J	2002-07-18	SLPS-25136
SLPS-25138	Ever 17: The Out of Infinity	Kid	Adventure.	Japanese	Kid	NTSC-J	2002-08-29	SLPS-25138
SLPS-25139	Baldur's Gate: Dark Alliance	N/A	N/A	Japanese	N/A	NTSC-J	N/A	SLPS-25139
SLPS-25141	Pac-Man World 2	Namco	Action / Platformer.	Japanese	Namco	NTSC-J	2002-07-25	SLPS-25141
SLPS-25142	Tiger Woods PGA Tour 2002	N/A	N/A	Japanese	N/A	NTSC-J	N/A	SLPS-25142
SLPS-25143	Dot Hack Akusei Hen'i Vol. 2	CyberConnect2	RPG	Japanese	Bandai	NTSC-J	2002-09-19	SLPS-25143
SLPS-25144	Memorial Song	Datam Polystar	Adventure.	Japanese	Datam Polystar	NTSC-J	2002-08-22	SLPS-25144
SLPS-25145	Hooligan: Kimi no Naka no Yuuki [Limited Edition]	Front Wing	Adventure / Card Battle.	Japanese	Pacific Century Cyber Works	NTSC-J	2002-08-29	SLPS-25145
SLPS-25146	Hooligan: Kimi no Naka no Yuuki	Front Wing	Adventure / Card Battle.	Japanese	Pacific Century Cyber Works	NTSC-J	2002-08-29	SLPS-25146
SLPS-25147	Star Wars: Jedi Starfighter	LucasArts Entertainment Company	Action / Shooter	Japanese	Lucasarts	NTSC-J	2002-08-29	SLPS-25147
SLPS-25148	Panel Quiz Attack 25	DigiCube	Quiz.	Japanese	DigiCube	NTSC-J	2002-08-29	SLPS-25148
SLPS-25149	Ever17 The Out of Infinity	Kid	Adventure.	Japanese	Kid	NTSC-J	2002-08-29	SLPS-25149
SLPS-25150	Only You: Rebel Cross	Alice Soft	Adventure / RPG.	Japanese	GeneX	NTSC-J	2003-04-24	SLPS-25150
SLPS-25151	Medal of Honor: Shijou Saidai no Sakusen	DreamWorks Interactive	First Person Shooter	Japanese	Electronic Arts	NTSC-J	2002-10-24	SLPS-25151
SLPS-25153	Disney's Lilo and Stitch: Stitch no Daibouken	N/A	N/A	Japanese	N/A	NTSC-J	N/A	SLPS-25153
SLPS-25154	Hana to Taiyou to Ame to	Grasshopper Manufacture	Adventure.	Japanese	Victor Interactive Software	NTSC-J	2002-09-05	SLPS-25154
SLPS-25155	Ultraman: Fighting Evolution 2	N/A	Fighting	Japanese	N/A	NTSC-J	2002-10-31	SLPS-25155
SLPS-25156	King of Fighters 2000, The	SNK	Fighting	N/A	SNK Playmore	NTSC-J	2002-11-28	SLPS-25156
SLPS-25157	Madden NFL Super Bowl 2003	N/A	N/A	Japanese	N/A	NTSC-J	N/A	SLPS-25157
SLPS-25158	Dot Hack Shinshoku Osen Vol. 3	CyberConnect2	RPG	Japanese	Bandai	NTSC-J	2002-12-12	SLPS-25158
SLPS-25159	Technic Beat	N/A	Rhythm	Japanese	N/A	NTSC-J	2002-11-07	SLPS-25159
SLPS-25160	Final Fantasy XI: 2002 Special Art Box	N/A	MMORPG	N/A	N/A	NTSC-J	N/A	SLPS-25160
SLPS-25161	Uchuu Senkan Yamato: Ankoku Seidan Teikoku no Gyakushuu	N/A	N/A	Japanese	N/A	NTSC-J	N/A	SLPS-25161
SLPS-25162	Uchuu Senkan Yamato: Ankoku Seidan Teikoku no Gyakushuu	N/A	N/A	Japanese	N/A	NTSC-J	N/A	SLPS-25162
SLPS-25164	Uchuu Senkan Yamato: Nijuu Ginga no Houkai	N/A	N/A	Japanese	N/A	NTSC-J	N/A	SLPS-25164
